iter	Passed	Remaining
699	2954	1266
700	2957	1261
701	2960	1256
702	2963	1251
703	2966	1247
704	2980	1247
705	2984	1242
706	2987	1238
707	2990	1233
708	2992	1228
709	2995	1223
710	2999	1219
711	3011	1217
712	3013	1213
713	3026	1212
714	3029	1207
715	3034	1203
716	3037	1199
717	3040	1194
718	3043	1189
719	3046	1184
720	3051	1180
721	3054	1176
722	3057	1171
723	3060	1166
724	3064	1162
725	3067	1157
726	3070	1153
727	3073	1148
728	3076	1143
729	3085	1141
730	3087	1136
731	3090	1131
732	3094	1127
733	3098	1122
734	3101	1118
735	3104	1113
736	3106	1108
737	3112	1104
738	3117	1100
739	3120	1096
740	3123	1091
741	3130	1088
742	3133	1083
743	3139	1080
744	3152	1079
745	3156	1074
746	3159	1070
747	3162	1065
748	3166	1061
749	3170	1056
750	3174	1052
751	3177	1047
752	3180	1043
753	3185	1039
754	3189	1034
755	3192	1030
756	3195	1025
757	3200	1021
758	3204	1017
759	3207	1012
760	3210	1008
761	3214	1004
762	3217	999
763	3220	994
764	3223	990
765	3226	985
766	3231	981
767	3234	977
768	3237	972
769	3241	968
770	3245	964
771	3249	959
772	3252	955
773	3255	950
774	3258	946
775	3268	943
776	3271	938
777	3273	934
778	3282	931
779	3285	926
780	3288	922
781	3293	918
782	3297	913
783	3300	909
784	3303	904
785	3306	900
786	3311	896
787	3315	891
788	3318	887
789	3321	883
790	3344	883
791	3347	879
792	3350	874
793	3353	869
794	3357	865
795	3360	861
796	3363	856
797	3366	852
798	3370	848
799	3375	843
800	3378	839
801	3380	834
802	3383	830
803	3388	825
804	3391	821
805	3393	816
806	3396	812
807	3400	807
808	3404	803
809	3407	799
810	3410	794
811	3413	790
812	3418	786
813	3422	782
814	3425	777
815	3428	773
816	3431	768
817	3436	764
818	3439	760
819	3442	755
820	3459	754
821	3462	749
822	3466	745
823	3470	741
824	3473	736
825	3477	732
826	3482	728
827	3489	724
828	3493	720
829	3503	717
830	3510	713
831	3517	710
832	3524	706
833	3531	702
834	3550	701
835	3552	696
836	3555	692
837	3562	688
838	3565	684
839	3568	679
840	3570	675
841	3575	670
842	3579	666
843	3582	662
844	3585	657
845	3588	653
846	3592	648
847	3596	644
848	3598	640
849	3601	635
850	3607	631
851	3610	627
852	3613	622
853	3616	618
854	3621	614
855	3625	609
856	3628	605
857	3630	600
858	3633	596
859	3637	592
860	3641	587
861	3644	583
862	3646	578
863	3649	574
864	3654	570
865	3657	565
866	3660	561
867	3663	557
868	3665	552
869	3669	548
870	3672	543
871	3675	539
872	3678	535
873	3680	530
874	3684	526
875	3692	522
876	3695	518
877	3698	513
878	3702	509
879	3705	505
880	3708	500
881	3711	496
882	3713	492
883	3718	487
884	3721	483
885	3725	479
886	3728	474
887	3731	470
888	3736	466
889	3740	462
890	3742	457
891	3746	453
892	3750	449
893	3753	445
894	3755	440
895	3758	436
896	3761	431
897	3765	427
898	3768	423
899	3770	418
900	3773	414
901	3776	410
902	3780	406
903	3783	401
904	3786	397
905	3788	393
906	3791	388
907	3796	384
908	3799	380
909	3802	376
910	3805	371
911	3808	367
912	3814	363
913	3816	359
914	3819	354
915	3821	350
916	3824	346
917	3828	342
918	3832	337
919	3835	333
920	3837	329
921	3840	324
922	3844	320
923	3847	316
924	3849	312
925	3852	307
926	3855	303
927	3859	299
928	3862	295
929	3865	290
930	3867	286
931	3870	282
932	3875	278
933	3878	274
934	3880	269
935	3883	265
936	3886	261
937	3890	257
938	3893	252
939	3897	248
940	3900	244
941	3902	240
942	3907	236
943	3910	231
944	3913	227
945	3916	223
946	3921	219
947	3928	215
948	3932	211
949	3939	207
950	3943	203
951	3945	198
952	3948	194
953	3951	190
954	3956	186
955	3959	182
956	3962	178
957	3965	173
958	3969	169
959	3972	165
960	3975	161
961	3978	157
962	3981	152
963	3985	148
964	3988	144
965	3991	140
966	3993	136
967	3995	132
968	3998	127
969	4018	124
970	4021	120
971	4024	115
972	4026	111
973	4029	107
974	4032	103
975	4036	99
976	4039	95
977	4041	90
978	4044	86
979	4048	82
980	4052	78
981	4054	74
982	4057	70
983	4059	66
984	4063	61
985	4066	57
986	4069	53
987	4072	49
988	4075	45
989	4077	41
990	4081	37
991	4084	32
992	4087	28
993	4091	24
994	4095	20
995	4098	16
996	4101	12
997	4104	8
998	4107	4
999	4112	0
